"key","base","as","bn","de","es","fr","gu","hi","id","it","ja","kn","ko","ml","mr","ms","nl","or","pa","pl","pt","ru","si","ta","te","th","tr","uk","ur","vi","zh"
"notesLabel","Notes","টোকা","নোট","Notizen","Notas","Notes","નોંધો","टिप्पणियाँ","Catatan","Note","メモ","ಟಿಪ್ಪಣಿಗಳು","메모","കുറിപ്പുകൾ","टिप्पण्या","Nota","Notities","ଟିପ୍ପଣୀ","ਨੋਟਸ","Notatki","Notas","Заметки","සටහන්","குறிப்புகள்","గమనికలు","บันทึก","Notlar","Нотатки","نوٹس","Ghi chú","备注"
"recordsLabel","Records","ৰেকৰ্ড","রেকর্ড","Einträge","Registros","Enregistrements","રેકોર્ડ્સ","रिकॉर्ड","Catatan data","Record","記録","ದಾಖಲೆಗಳು","기록","റെക്കോർഡുകൾ","नोंदी","Rekod","Records","ରେକର୍ଡ","ਰਿਕਾਰਡ","Rekordy","Registros","Записи","වාර්තා","பதிவுகள்","రికార్డులు","ระเบียน","Kayıtlar","Записи","ریکارڈز","Bản ghi","记录"
"actionsLabel","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions","Actions"
"activeLicensesLabel","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses","Active Licenses"
"activeLicensesSummaryLabel","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations."
"accountLifecycleStatusLabel","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status","Account lifecycle status"
"dashboardLabel","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard","Dashboard"
"homeLabel","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home","Home"
"allOrganizationsLabel","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations","All Organizations"
"allUsersLabel","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users","All Users"
"applicationAdminLabel","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin","Application Admin"
"awaitingSelectionLabel","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection","Awaiting selection"
"closestExpiryLabel","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry","Closest expiry"
"commandNotesLabel","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes","Command Notes"
"commandNotesSubtitleLabel","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now","What this dashboard is telling you right now"
"downloadSelectedLabel","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected","Download Selected"
"downloadZipLabel","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP","Download ZIP"
"earliestExpiryLabel","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry","Earliest Expiry"
"errorMonitorLabel","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor","Error Monitor"
"expiringIn30DaysLabel","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days","Expiring in 30 Days"
"expiringIn30DaysSummaryLabel","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access."
"expiringSoonLabel","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon","Expiring Soon"
"expiredLicensesLabel","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses","Expired Licenses"
"expiredLicensesSummaryLabel","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window."
"exportPdfLabel","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF","Export PDF"
"exposureSummaryLabel","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary","Exposure Summary"
"exposureSummarySubtitleLabel","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity"
"fetchUsersLabel","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Ambil Pengguna","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","\u0BAA\u0BAF\u0BA9\u0BB0\u0BCD\u0B95\u0BB3\u0BC8 \u0BAA\u0BC6\u0BB1\u0BC1\u0B95","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","Fetch Users","\u83B7\u53D6\u7528\u6237"
"filesLabel","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files","files"
"healthLabel","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health"
"healthyLabel","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy"
"imageLabel","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image","Image"
"inlinePreviewLabel","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview","Inline Preview"
"licenseCommandCenterLabel","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center","License Command Center"
"licenseHealthScoreLabel","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score","License Health Score"
"licenseHealthScoreSummaryLabel","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active","Share of visible licenses that are currently active"
