"key","base","target","review_status","reviewer_notes"
"fetchUsersLabel","Fetch Users","\u83B7\u53D6\u7528\u6237","",""
"filesLabel","files","files","",""
"healthLabel","Health","Health","",""
"healthyLabel","Healthy","Healthy","",""
"imageLabel","Image","Image","",""
"inlinePreviewLabel","Inline Preview","Inline Preview","",""
"licenseCommandCenterLabel","License Command Center","License Command Center","",""
"licenseHealthScoreLabel","License Health Score","License Health Score","",""
"licenseHealthScoreSummaryLabel","Share of visible licenses that are currently active","Share of visible licenses that are currently active","",""
"licensePriorityNoteLabel","Keep licenses healthy for organizations with the highest user counts first. That lowers operational risk fastest.","Keep licenses healthy for organizations with the highest user counts first. That lowers operational risk fastest.","",""
"licensedOrganizationsLabel","Licensed Organizations","Licensed Organizations","",""
"licensedUsersLabel","Licensed Users","Licensed Users","",""
"linesLabel","lines","lines","",""
"liveAccountSplitLabel","Live account split","Live account split","",""
"liveLabel","Live","Live","",""
"livePreviewLabel","Live Preview","Live Preview","",""
"livePreviewSummaryLabel","Immediate view of the selected log file with download and full-view actions kept close.","Immediate view of the selected log file with download and full-view actions kept close.","",""
"logExplorerLabel","Log Explorer","Log Explorer","",""
"logExplorerSummaryLabel","Folders and .log files under the server log directory.","Folders and .log files under the server log directory.","",""
"logFileDialogLabel","Log File","Log File","",""
"logFilesLabel","Log Files","Log Files","",""
"logLocationLabel","Log Location","Log Location","",""
"mostExposedOrganizationLabel","Most Exposed Organization","Most Exposed Organization","",""
"mostExposedOrganizationStatLabel","Most exposed organization","Most exposed organization","",""
"newUserLabel","New User","New User","",""
"neverLoggedInLabel","Never Logged In","Never Logged In","",""
"noFileSelectedLabel","No file selected","No file selected","",""
"notifyLabel","Notify","Notify","",""
"openFullViewerLabel","Open Full Viewer","Open Full Viewer","",""
"protectedUserAccountsLabel","Protected user accounts","Protected user accounts","",""
"recordsLoadedLabel","Records Loaded","Records Loaded","",""
"refreshExplorerLabel","Refresh Explorer","Refresh Explorer","",""
"remarksLabel","Remarks","Remarks","",""
"renewalPressureBoardLabel","Renewal Pressure Board","Renewal Pressure Board","",""
"renewalPressureBoardSummaryLabel","Organizations sorted by expiry risk and user exposure","Organizations sorted by expiry risk and user exposure","",""
"searchLabel","Search","\u641C\u7D22","",""
"searchUsersLabel","Search Users","Search Users","",""
"selectedFileLabel","Selected File","Selected File","",""
"selectedSizeLabel","Selected Size","Selected Size","",""
"selectLogFilePreviewLabel","Select a log file from the explorer to preview its contents here.","Select a log file from the explorer to preview its contents here.","",""
"serverAndDbLabel","Server and DB","\u670D\u52A1\u5668\u548C\u6570\u636E\u5E93","",""
"serverLogActionsSummaryLabel","Refresh the explorer, open the current file in a dialog, or download what you are investigating.","Refresh the explorer, open the current file in a dialog, or download what you are investigating.","",""
"serverLogCommandDeckLabel","Server Log Command Deck","Server Log Command Deck","",""
"serverLogCommandDeckSummaryLabel","Inspect runtime logs, open the selected file instantly, and download the current artifact without leaving the page. Built for fast triage when production or UAT starts misbehaving.","Inspect runtime logs, open the selected file instantly, and download the current artifact without leaving the page. Built for fast triage when production or UAT starts misbehaving.","",""
"serverLogsLabel","Server Logs","\u670D\u52A1\u5668\u65E5\u5FD7","",""
"statusComparisonLabel","Status Comparison","Status Comparison","",""
"statusComparisonSummaryLabel","Compare user lifecycle states side by side for faster admin review.","Compare user lifecycle states side by side for faster admin review.","",""
"statusLabel","Status","Status","",""
"statusShareLabel","Status Share","Status Share","",""
"statusShareSummaryLabel","Understand how the user population is distributed across active, inactive, and never-used accounts.","Understand how the user population is distributed across active, inactive, and never-used accounts.","",""
"totalVisibleRecordsLabel","Total visible records","Total visible records","",""
"unknownLabel","Unknown","Unknown","",""
"unlicensedOrganizationsLabel","Unlicensed Organizations","Unlicensed Organizations","",""
"unlicensedOrganizationsSummaryLabel","Accessible organizations without a registered license record.","Accessible organizations without a registered license record.","",""
"userAdministrationActionsSummaryLabel","Create, fetch, export, and maintain user accounts from the same existing action flow, with page-level organization and user scope controls.","Create, fetch, export, and maintain user accounts from the same existing action flow, with page-level organization and user scope controls.","",""
"userAdministrationCommandCenterLabel","User Administration Command Center","User Administration Command Center","",""
"userAdministrationLabel","User Administration","\u7528\u6237\u7BA1\u7406","",""
"userAdministrationSummaryLabel","Manage user accounts, login status, access footprint, and profile readiness from a sharper operational workspace. The underlying add, edit, delete, upload, and crop flows remain unchanged.","Manage user accounts, login status, access footprint, and profile readiness from a sharper operational workspace. The underlying add, edit, delete, upload, and crop flows remain unchanged.","",""
"userLabel","User","User","",""
"userManagementLabel","User Management","\u7528\u6237\u7BA1\u7406","",""
"userScopeLabel","User Scope","User Scope","",""
"userStatusComparisonChartLabel","User Status Comparison","User Status Comparison","",""
"userStatusShareChartLabel","User Status Share","User Status Share","",""
"usersGridLabel","Users Grid","Users Grid","",""
"usersGridSummaryLabel","Search, inspect avatars, review status, and open the existing edit/delete flows from the main grid.","Search, inspect avatars, review status, and open the existing edit/delete flows from the main grid.","",""
"usersLabel","Users","Users","",""
"windowLabel","Window","Window","",""
"expiryLabel","Expiry","Expiry","",""
"activeUsersLabel","Active Users","Active Users","",""
"activityControlsLabel","Activity Controls","Activity Controls","",""
"activityControlsSummaryLabel","Refresh the live dataset and export the audit grid in report-friendly formats.","Refresh the live dataset and export the audit grid in report-friendly formats.","",""
"activityDistributionLabel","Activity Distribution","Activity Distribution","",""
"activityDistributionSummaryLabel","A quick visual split of the main activity types in the current audit set.","A quick visual split of the main activity types in the current audit set.","",""
"activityLabel","Activity","Activity","",""
"activityMixLabel","Activity Mix","Activity Mix","",""
"activityTimelineLabel","Activity Timeline","Activity Timeline","",""
"activityTimelineSummaryLabel","Track how audit volume changes across the recorded date and time sequence.","Track how audit volume changes across the recorded date and time sequence.","",""
"addLabel","Add","\u6DFB\u52A0","",""
"auditGridLabel","Audit Grid","Audit Grid","",""
"auditGridSummaryLabel","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","",""
"branchRequiredLabel","Branch*","Branch*","",""
"browserMixLabel","Browser Mix","Browser Mix","",""
"browserTypeDistributionLabel","Browser Type Distribution","Browser Type Distribution","",""
"browserTypeDistributionSummaryLabel","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","",""
"changeEventsLabel","Change Events","Change Events","",""
"changeEventsSummaryLabel","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","",""
"changeOperationsLabel","Change Operations","Change Operations","",""
"changeOperationsSummaryLabel","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","",""
"cityRequiredLabel","City*","City*","",""
"countryRequiredLabel","Country*","Country*","",""
"createdAtLabel","Created At","\u521B\u5EFA\u65F6\u95F4","",""
"currentAuditMixLabel","Current audit mix","Current audit mix","",""
"currentSavedProfilePictureLabel","Current saved profile picture for this user account.","Current saved profile picture for this user account.","",""
"dateTimeBasedEventFlowLabel","Date/time based event flow","Date/time based event flow","",""
"deleteLabel","Delete","\u5220\u9664","",""
"emailAddressLabel","Email address","Email address","",""
"environmentLabel","Environment","Environment","",""
"environmentSourceProfileLabel","Environment source profile","Environment source profile","",""
"eventsLabel","events","events","",""
"exportToExcelLabel","Export to Excel","\u5BFC\u51FA\u4E3AExcel","",""
"exportToPdfLabel","Export to PDF","\u5BFC\u51FA\u4E3APDF","",""
"lastLogoutLabel","Last Logout","Last Logout","",""
"lastPasswordChangeLabel","Last Password Change","Last Password Change","",""
"lastRecordedLabel","Last Recorded","Last Recorded","",""
"lastSeenLabel","Last Seen","Last Seen","",""
"lastSuccessfulLoginLabel","Last Successful Login","Last Successful Login","",""
"loginEventsLabel","Login Events","Login Events","",""
"loginEventsSummaryLabel","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","",""
"loginLabel","Login","\u767B\u5F55","",""
"logoutEventsLabel","Logout Events","Logout Events","",""
"logoutEventsSummaryLabel","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","",""
"mostActiveUserLabel","Most Active User","Most Active User","",""
"mostActiveUserSummaryLabel","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","",""
"noUserActivityFoundLabel","No user activity found","No user activity found","",""
"overallUserActivityStatusLabel","Overall User Activity Status","Overall User Activity Status","",""
"phoneLabel","Phone","Phone","",""
"profileDetailsUnavailableLabel","Profile details are not available","Profile details are not available","",""
"profileDetailsUnavailableSummaryLabel","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","",""
"profileImageLabel","Profile Image","Profile Image","",""
"profileNoActivityEntriesLabel","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","",""
"refreshActivityLabel","Refresh Activity","Refresh Activity","",""
"searchActivityGridLabel","Search activity grid","Search activity grid","",""
"searchUserActivityLabel","Search User Activity","Search User Activity","",""
"securityEventsLabel","Security Events","Security Events","",""
"securityEventsSummaryLabel","Combined login and logout activity across the visible audit records.","Combined login and logout activity across the visible audit records.","",""
"sessionIdLabel","Session ID","Session ID","",""
"stateRequiredLabel","State*","State*","",""
"timeLabel","Time","Time","",""
"timelineLabel","Timeline","Timeline","",""
"topActivityTypeLabel","Top Activity Type","Top Activity Type","",""
"topActivityTypeSummaryLabel","Most frequent operation pattern across the current audit history.","Most frequent operation pattern across the current audit history.","",""
"totalRecordsLabel","Total Records","Total Records","",""
"uniqueIpsLabel","Unique IPs","Unique IPs","",""
"uniqueIpsSummaryLabel","Distinct network origins currently visible in the loaded activity history.","Distinct network origins currently visible in the loaded activity history.","",""
"updatedAtLabel","Updated At","Updated At","",""
"userActivityIntelligenceLabel","User Activity Intelligence","User Activity Intelligence","",""
"userActivityIntelligenceSummaryLabel","Review operational behavior, security movement, change events, and audit signals across the platform from one high-clarity activity command view.","Review operational behavior, security movement, change events, and audit signals across the platform from one high-clarity activity command view.","",""
"userActivityLabel","User Activity","\u7528\u6237\u6D3B\u52A8","",""
"applicationNotificationDetailsLabel","Application Notification Details","Application Notification Details","",""
"applicationNotificationsFileLabel","application-notifications","application-notifications","",""
"applicationNotificationsLabel","Application Notifications","Application Notifications","",""
"bankAccountDetailsRequiredLabel","Bank Account Details*","Bank Account Details*","",""
"bankDetailsLabel","Bank Details"," Bank Details","",""
"createdByLabel","Created By","Created By","",""
"deleteBankDetailsLabel","Delete the selected bank details?","Delete the selected bank details?","",""
"deleteSelectedApplicationNotificationLabel","Delete the selected application notification?","Delete the selected application notification?","",""
"fetchNotificationsLabel","Fetch Notifications","Fetch Notifications","",""
"messageLabel","Message","Message","",""
"organizationLogoSizeLimitLabel","Organization logo must be 500 KB or smaller.","Organization logo must be 500 KB or smaller.","",""
"organizationNameLabel","Organization Name","\u7EC4\u7EC7\u540D\u79F0","",""
"searchApplicationNotificationsLabel","Search Application Notifications","Search Application Notifications","",""
"systemManagementLabel","System Management","\u7CFB\u7EDF\u7BA1\u7406","",""
"activeExpiredLicensesLabel","Active / expired licenses","Active / expired licenses","",""
"activeUserRateLabel","Active User Rate","Active User Rate","",""
"activitiesPerRoleLabel","Activities per role","Activities per role","",""
"activitiesPerUserLabel","activities per user","activities per user","",""
"activitiesPerUserStatLabel","Activities per user","Activities per user","",""
"addUpdateDeleteEventsLabel","Add / update / delete events","Add / update / delete events","",""
"adminControlDashboardLabel","Admin Control Dashboard","Admin Control Dashboard","",""
"autoRefreshLabel","Auto Refresh","Auto Refresh","",""
"authenticationShareLabel","Authentication Share","Authentication Share","",""
"authenticationShareSummaryLabel","Login and logout events out of tracked activity","Login and logout events out of tracked activity","",""
"branchesLabel","Branches","Branches","",""
"branchesPerOrganizationLabel","branches per organization","branches per organization","",""
"branchesPerOrganizationStatLabel","Branches per organization","Branches per organization","",""
"changeShareLabel","Change Share","Change Share","",""
"changeShareSummaryLabel","Add, update, and delete events combined","Add, update, and delete events combined","",""
"citiesPerStateLabel","cities per state","cities per state","",""
"citiesPerStateStatLabel","Cities per state","Cities per state","",""
"countriesStatesCitiesLabel","Countries / States / Cities","Countries / States / Cities","",""
"coverageSummaryLabel","Coverage Summary","Coverage Summary","",""
"coverageSummarySubtitleLabel","Raw counts that support the derived visuals","Raw counts that support the derived visuals","",""
"currenciesLabel","Currencies","\u8d27\u5e01","",""
"densityStatisticsLabel","Density Statistics","Density Statistics","",""
"densityStatisticsSummaryLabel","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","",""
"departmentsLabel","Departments","Departments","",""
"departmentsPerOrganizationLabel","departments per organization","departments per organization","",""
"departmentsPerOrganizationStatLabel","Departments per organization","Departments per organization","",""
"designationsLabel","Designations","Designations","",""
"designationsPerDepartmentLabel","Designations per department","Designations per department","",""
"efficiencyRadarLabel","Efficiency Radar","Efficiency Radar","",""
"efficiencyRadarSummaryLabel","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","",""
"expiringLicensesLabel","Expiring Licenses","Expiring Licenses","",""
"expiringWithin30DaysLabel","Expiring within 30 days","Expiring within 30 days","",""
"expiredAndLabel","expired and","expired and","",""
"geographyFootprintLabel","Geography Footprint","Geography Footprint","",""
"inActiveUseLabel","in active use","in active use","",""
"licenseCoverageLabel","License Coverage","License Coverage","",""
"licenseCoverageSummaryLabel","Share of licensed organizations that are still active","Share of licensed organizations that are still active","",""
"licensePulseLabel","License Pulse","License Pulse","",""
"licensePulseSummaryLabel","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","",""
"licensedOrgsLabel","Licensed Orgs","Licensed Orgs","",""
"licensedOrganizationsStatLabel","Licensed organizations","Licensed organizations","",""
"licensedUserAccountsLabel","Licensed user accounts","Licensed user accounts","",""
"licensedUsersSummaryLabel","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","",""
"loginLogoutEventsLabel","Login / logout events","Login / logout events","",""
"nearingRenewalLabel","nearing renewal","nearing renewal","",""
"operationalRatiosSummaryLabel","Percent-based dashboard health indicators","Percent-based dashboard health indicators","",""
"organizationsLabel","Organizations","Organizations","",""
"portfolioMixLabel","Portfolio Mix","Portfolio Mix","",""
"portfolioMixSummaryLabel","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","",""
"roleUtilizationSummaryLabel","Used versus dormant roles in the system","Used versus dormant roles in the system","",""
"rolesLabel","Roles","Roles","",""
"rolesUsedUnusedLabel","Roles used / unused","Roles used / unused","",""
"statesPerCountryLabel","States per country","States per country","",""
"structureInventoryLabel","Structure Inventory","Structure Inventory","",""
"systemEntityFootprintLabel","System Entity Footprint","System Entity Footprint","",""
"systemEntityFootprintSummaryLabel","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","",""
"totalUsersLabel","Total Users","Total Users","",""
"trackedActivitiesLabel","Tracked Activities","Tracked Activities","",""
"unlicensedOrgsLabel","Unlicensed Orgs","Unlicensed Orgs","",""
"unlicensedOrgsSummaryLabel","Organizations without any registered license entry","Organizations without any registered license entry","",""
"unlicensedOrganizationsStatLabel","Unlicensed organizations","Unlicensed organizations","",""
"userActivitiesLabel","User Activities","User Activities","",""
"userStateMixLabel","User State Mix","User State Mix","",""
"userStateMixSummaryLabel","Current user population by lifecycle status","Current user population by lifecycle status","",""
"usersLoggedInOutNeverLabel","Users logged in / logged out / never","Users logged in / logged out / never","",""
"usersPerOrganizationLabel","Users per organization","Users per organization","",""
"usersPerRoleLabel","users per role","users per role","",""
"usersPerRoleStatLabel","Users per role","Users per role","",""
"affectedLogFilesLabel","affected log files","affected log files","",""
"alertFocusLabel","Alert Focus","Alert Focus","",""
"alertFocusSummaryLabel","Immediate context from the newest monitored signal.","Immediate context from the newest monitored signal.","",""
"andLabel","and","and","",""
"availabilityLabel","Availability","Availability","",""
"availabilitySummaryLabel","Live datasource reachability as seen from the running application server.","Live datasource reachability as seen from the running application server.","",""
"connectionPulseLabel","Connection Pulse","Connection Pulse","",""
"connectionPulseSummaryLabel","Quick operational read of the active datasource and engine handshake.","Quick operational read of the active datasource and engine handshake.","",""
"connectionStateLabel","Connection State","Connection State","",""
"correlatedUsersLabel","correlated users","correlated users","",""
"criticalSignalsLabel","Critical Signals","Critical Signals","",""
"databaseLabel","Database","\u6570\u636E\u5E93","",""
"databaseProductNameLabel","Database Product Name","Database Product Name","",""
"databaseProductVersionLabel","Database Product Version","Database Product Version","",""
"databaseRuntimeControlLabel","Database Runtime Control","Database Runtime Control","",""
"datasourceUserLabel","Datasource User","Datasource User","",""
"datasourceUserSummaryLabel","Authentication identity currently attached to the application datasource.","Authentication identity currently attached to the application datasource.","",""
"datasourceUsernameLabel","Datasource Username","Datasource Username","",""
"engineLabel","Engine","Engine","",""
"errorLogMonitoringDeckLabel","Error Log Monitoring Deck","Error Log Monitoring Deck","",""
"errorLogMonitoringDeckSummaryLabel","Watch warnings, errors, and exception signatures across server logs and application logs, correlate them to the nearest recorded user operation, and surface alert pressure to application admins before incidents spread.","Watch warnings, errors, and exception signatures across server logs and application logs, correlate them to the nearest recorded user operation, and surface alert pressure to application admins before incidents spread.","",""
"errorLogMonitoringLabel","Error Log Monitoring","Error Log Monitoring","",""
"errorLogMonitorInsightPrefixLabel","Current scan covers","Current scan covers","",""
"errorLogMonitorInsightSuffixLabel","Alerts are pushed into the standard topbar message stream for app admins.","Alerts are pushed into the standard topbar message stream for app admins.","",""
"errorsLabel","Errors","Errors","",""
"errorsSummaryLabel","Hard failures and severe runtime breakdowns found in the monitored log set.","Hard failures and severe runtime breakdowns found in the monitored log set.","",""
"exceptionsLabel","Exceptions","Exceptions","",""
"exceptionsSummaryLabel","Unhandled or framework-thrown exception traces caught by the monitor.","Unhandled or framework-thrown exception traces caught by the monitor.","",""
"incidentStreamLabel","Incident Stream","Incident Stream","",""
"incidentStreamSummaryLabel","Each row shows what happened, when it happened, and the closest tracked user action around that time.","Each row shows what happened, when it happened, and the closest tracked user action around that time.","",""
"jdbcUrlLabel","JDBC URL","JDBC URL","",""
"lastScanLabel","Last Scan","Last Scan","",""
"logMessageLabel","Log / Message","Log / Message","",""
"monitorControlsLabel","Monitor Controls","Monitor Controls","",""
"monitorControlsSummaryLabel","The monitor auto-refreshes every 30 seconds, scans all supported log files under the server log area, and pushes topbar alerts to application admins when new warning or error events are discovered.","The monitor auto-refreshes every 30 seconds, scans all supported log files under the server log area, and pushes topbar alerts to application admins when new warning or error events are discovered.","",""
"monitoredIncidentsLabel","Monitored Incidents","Monitored Incidents","",""
"noWarningErrorExceptionTrackedLabel","No warning, error, or exception lines are currently being tracked from the monitored server logs.","No warning, error, or exception lines are currently being tracked from the monitored server logs.","",""
"onlineLabel","Online","Online","",""
"openServerLogsLabel","Open Server Logs","Open Server Logs","",""
"productLabel","Product","Product","",""
"productSummaryLabel","Database product reported by JDBC metadata.","Database product reported by JDBC metadata.","",""
"refreshNowLabel","Refresh Now","Refresh Now","",""
"runtimeLabel","Runtime","Runtime","",""
"scannedFilesLabel","Scanned Files","Scanned Files","",""
"scannedFilesSummaryLabel","Latest server log files included in the current monitoring sweep.","Latest server log files included in the current monitoring sweep.","",""
"sessionLabel","Session","Session","",""
"technicalDetailsLabel","Technical Details","Technical Details","",""
"technicalDetailsSummaryLabel","Datasource metadata captured directly from JDBC and formatted for fast inspection.","Datasource metadata captured directly from JDBC and formatted for fast inspection.","",""
"typeLabel","Type","\u7c7b\u578b","",""
"userOperationLabel","User Operation","User Operation","",""
"versionLabel","Version","Version","",""
"versionSummaryLabel","Server version currently exposed by the connected engine.","Server version currently exposed by the connected engine.","",""
"warningsLabel","Warnings","Warnings","",""
"warningsSummaryLabel","Signals that deserve review before they escalate into user-facing failures.","Signals that deserve review before they escalate into user-facing failures.","",""
"whenLabel","When","When","",""
"signInLabel","Sign In","\u767B\u5F55","",""
"usernameLabel","Username","\u7528\u6237\u540D","",""
"passwordLabel","Password","\u5BC6\u7801","",""
"forgotPasswordText","Forgot Password? ","\u5FD8\u8BB0\u5BC6\u7801\uFF1F","",""
"refreshInText","Refresh In","\u5237\u65B0\u4E2D","",""
"secondsLabel","Seconds","\u79D2","",""
"licenseLabel","License","\u6388\u6743","",""
"clinicManagementLabel","Clinic Management","","",""
"userProfileLabel","User Profile","\u7528\u6237\u8D44\u6599","",""
"modulesRoleDefinitionLabel","Modules Role Definition","\u6A21\u5757\u89D2\u8272\u5B9A\u4E49","",""
"roleAdministrationLabel","Role Administration","\u89D2\u8272\u7BA1\u7406","",""
"manageRoleLabel","Manage Role","Manage Role","",""
"changePasswordLabel","Change Password","\u4FEE\u6539\u5BC6\u7801","",""
"branchLabel","Branch","\u5206\u652F","",""
"departmentLabel","Department","\u90E8\u95E8","",""
"designationLabel","Designation","\u804C\u79F0","",""
"countryLabel","Country","\u56FD\u5BB6","",""
"stateLabel","State","\u7701\u4EFD","",""
"cityLabel","City","\u57CE\u5E02","",""
"regionLabel","Region","\u5730\u533A","",""
"subregionLabel","Subregion","\u5C0F\u5730\u533A","",""
"currencyLabel","Currency","\u8D27\u5E01","",""
"notificationSettingsLabel","Notification Settings","\u901A\u77E5\u8BBE\u7F6E","",""
"roleLabel","Role","\u89D2\u8272","",""
"roleIdLabel","Role Id","Role Id","",""
"roleNameLabel","Role Name","Role Name","",""
"roleDetailsLabel","Role Details","Role Details","",""
"searchRoleLabel","Search Role","Search Role","",""
"deleteTheRoleLabel","Delete the Role","Delete the Role","",""
"accessRightLabel","Access Right","\u8BBF\u95EE\u6743\u9650","",""
"emailIDLabel","Email ID","\u7535\u5B50\u90AE\u4EF6ID","",""
"contactLabel","Contact","\u8054\u7CFB\u4EBA","",""
"fetchUserActivitiesLabel","Fetch User Activities","\u83B7\u53D6\u7528\u6237\u6D3B\u52A8","",""
"noOfRecordsLabel","Number of Records","\u8BB0\u5F55\u6570\u91CF","",""
"activityTypeLabel","Activity Type","\u6D3B\u52A8\u7C7B\u578B","",""
"activityDescriptionLabel","Activity Description","\u6D3B\u52A8\u63CF\u8FF0","",""
"ipAddressLabel","IP Address","IP\u5730\u5740","",""
"deviceInfoLabel","Device Info","\u8BBE\u5907\u4FE1\u606F","",""
"browserInfoLabel","Browser Info","\u6D4F\u89C8\u5668\u4FE1\u606F","",""
"createLabel","Create","\u521B\u5EFA","",""
"editLabel","Edit","\u7F16\u8F91","",""
"moduleLabel","Module","\u6A21\u5757","",""
"modulesLabel","Modules","\u6A21\u5757","",""
"submoduleLabel","Sub Module","\u5B50\u6A21\u5757","",""
"submodulesLabel","Sub Modules","\u5B50\u6A21\u5757","",""
"privilegesLabel","Privileges","\u6743\u9650","",""
"viewLabel","View","\u67E5\u770B","",""
"exportLabel","Export","\u5BFC\u51FA","",""
"printLabel","Print","\u6253\u5370","",""
"emailLabel","Email","\u7535\u5B50\u90AE\u4EF6","",""
"prepareLabel","Prepare","\u51C6\u5907","",""
"approveLabel","Approve","\u6279\u51C6","",""
"rejectLabel","Reject","\u62D2\u7EDD","",""
"saveLabel","Save","\u4FDD\u5B58","",""
"updateLabel","Update","\u66F4\u65B0","",""
"newLabel","New","\u65B0","",""
"fetchRolesLabel","Fetch Roles","\u83B7\u53D6\u89D2\u8272","",""
"fetchOrganizationsLabel","Fetch Organizations","\u83B7\u53D6\u7EC4\u7EC7","",""
"fetchBranchesLabel","Fetch Branches","\u83B7\u53D6\u5206\u652F","",""
"fetchDepartmentsLabel","Fetch Departments","\u83B7\u53D6\u90E8\u95E8","",""
"fetchDesignationsLabel","Fetch Designations","\u83B7\u53D6\u804C\u79F0","",""
"fetchCountriesLabel","Fetch Countries","\u83B7\u53D6\u56FD\u5BB6","",""
"fetchStatesLabel","Fetch States/Districts","\u83B7\u53D6\u7701/\u533A","",""
"fetchCitiesLabel","Fetch Cities","\u83B7\u53D6\u57CE\u5E02","",""
"fetchRegionsLabel","Fetch Regions","\u83B7\u53D6\u5730\u533A","",""
"fetchSubregionsLabel","Fetch Subregions","\u83B7\u53D6\u5C0F\u5730\u533A","",""
"fetchCurrenciesLabel","Fetch Currencies","\u83B7\u53D6\u8D27\u5E01","",""
"fetchNotificationSettingLabel","Fetch Notification Setting","\u83B7\u53D6\u901A\u77E5\u8BBE\u7F6E","",""
"organizationIdLabel","Organization Id","","",""
"searchOrganizationLabel","Search Organization","\u641C\u7D22\u7EC4\u7EC7","",""
"flagLabel","Flag","\u65D7\u5E1C","",""
"phoneNumberLabel","Phone Number","\u7535\u8BDD\u53F7\u7801","",""
"websiteLabel","Website","\u7F51\u7AD9","",""
"organizationDetailsLabel","Organization Details","\u7EC4\u7EC7\u8BE6\u60C5","",""
"deleteTheOrganizationLabel","Delete the Organization","\u5220\u9664\u7EC4\u7EC7","",""
"branchIdLabel","Branch Id","\u5206\u652F\u673A\u6784\u7F16\u53F7","",""
"branchNameLabel","Branch Name","\u5206\u652F\u673A\u6784\u540D\u79F0","",""
"branchDetailsLabel","Branch Details","\u5206\u652F\u673A\u6784\u8BE6\u60C5","",""
"deleteTheBranchLabel","Delete the Branch","\u5220\u9664\u5206\u652F\u673A\u6784","",""
"searchBranchLabel","Search Branch","\u641C\u7D22\u5206\u652F","",""
"confirmLabel","Confirm","\u786E\u8BA4","",""
"organizationAddedSuccessfullyLabel","Organization Added Successfully","\u7EC4\u7EC7\u6DFB\u52A0\u6210\u529F","",""
"organizationAlreadyExistsLabel","Organization already exists","\u7EC4\u7EC7\u5DF2\u5B58\u5728","",""
