"key","base","target","review_status","reviewer_notes"
"renewalPressureBoardLabel","Renewal Pressure Board","Renewal Pressure Board","",""
"renewalPressureBoardSummaryLabel","Organizations sorted by expiry risk and user exposure","Organizations sorted by expiry risk and user exposure","",""
"searchLabel","Search","Search","",""
"searchUsersLabel","Search Users","Search Users","",""
"selectedFileLabel","Selected File","Selected File","",""
"selectedSizeLabel","Selected Size","Selected Size","",""
"selectLogFilePreviewLabel","Select a log file from the explorer to preview its contents here.","Select a log file from the explorer to preview its contents here.","",""
"serverAndDbLabel","Server and DB","Server and DB","",""
"serverLogActionsSummaryLabel","Refresh the explorer, open the current file in a dialog, or download what you are investigating.","Refresh the explorer, open the current file in a dialog, or download what you are investigating.","",""
"serverLogCommandDeckLabel","Server Log Command Deck","Server Log Command Deck","",""
"serverLogCommandDeckSummaryLabel","Inspect runtime logs, open the selected file instantly, and download the current artifact without leaving the page. Built for fast triage when production or UAT starts misbehaving.","Inspect runtime logs, open the selected file instantly, and download the current artifact without leaving the page. Built for fast triage when production or UAT starts misbehaving.","",""
"serverLogsLabel","Server Logs","Server Logs","",""
"statusComparisonLabel","Status Comparison","Status Comparison","",""
"statusComparisonSummaryLabel","Compare user lifecycle states side by side for faster admin review.","Compare user lifecycle states side by side for faster admin review.","",""
"statusLabel","Status","Status","",""
"statusShareLabel","Status Share","Status Share","",""
"statusShareSummaryLabel","Understand how the user population is distributed across active, inactive, and never-used accounts.","Understand how the user population is distributed across active, inactive, and never-used accounts.","",""
"totalVisibleRecordsLabel","Total visible records","Total visible records","",""
"unknownLabel","Unknown","Unknown","",""
"unlicensedOrganizationsLabel","Unlicensed Organizations","Unlicensed Organizations","",""
"unlicensedOrganizationsSummaryLabel","Accessible organizations without a registered license record.","Accessible organizations without a registered license record.","",""
"userAdministrationActionsSummaryLabel","Create, fetch, export, and maintain user accounts from the same existing action flow, with page-level organization and user scope controls.","Create, fetch, export, and maintain user accounts from the same existing action flow, with page-level organization and user scope controls.","",""
"userAdministrationCommandCenterLabel","User Administration Command Center","User Administration Command Center","",""
"userAdministrationLabel","User Administration","User Administration","",""
"userAdministrationSummaryLabel","Manage user accounts, login status, access footprint, and profile readiness from a sharper operational workspace. The underlying add, edit, delete, upload, and crop flows remain unchanged.","Manage user accounts, login status, access footprint, and profile readiness from a sharper operational workspace. The underlying add, edit, delete, upload, and crop flows remain unchanged.","",""
"userLabel","User","User","",""
"userManagementLabel","User Management","User","",""
"userScopeLabel","User Scope","User Scope","",""
"userStatusComparisonChartLabel","User Status Comparison","User Status Comparison","",""
"userStatusShareChartLabel","User Status Share","User Status Share","",""
"usersGridLabel","Users Grid","Users Grid","",""
"usersGridSummaryLabel","Search, inspect avatars, review status, and open the existing edit/delete flows from the main grid.","Search, inspect avatars, review status, and open the existing edit/delete flows from the main grid.","",""
"usersLabel","Users","Users","",""
"windowLabel","Window","Window","",""
"expiryLabel","Expiry","Expiry","",""
"activeUsersLabel","Active Users","Active Users","",""
"activityControlsLabel","Activity Controls","Activity Controls","",""
"activityControlsSummaryLabel","Refresh the live dataset and export the audit grid in report-friendly formats.","Refresh the live dataset and export the audit grid in report-friendly formats.","",""
"activityDistributionLabel","Activity Distribution","Activity Distribution","",""
"activityDistributionSummaryLabel","A quick visual split of the main activity types in the current audit set.","A quick visual split of the main activity types in the current audit set.","",""
"activityLabel","Activity","Activity","",""
"activityMixLabel","Activity Mix","Activity Mix","",""
"activityTimelineLabel","Activity Timeline","Activity Timeline","",""
"activityTimelineSummaryLabel","Track how audit volume changes across the recorded date and time sequence.","Track how audit volume changes across the recorded date and time sequence.","",""
"addLabel","Add","Add","",""
"auditGridLabel","Audit Grid","Audit Grid","",""
"auditGridSummaryLabel","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","",""
"branchRequiredLabel","Branch*","Branch*","",""
"browserMixLabel","Browser Mix","Browser Mix","",""
"browserTypeDistributionLabel","Browser Type Distribution","Browser Type Distribution","",""
"browserTypeDistributionSummaryLabel","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","",""
"changeEventsLabel","Change Events","Change Events","",""
"changeEventsSummaryLabel","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","",""
"changeOperationsLabel","Change Operations","Change Operations","",""
"changeOperationsSummaryLabel","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","",""
"cityRequiredLabel","City*","City*","",""
"countryRequiredLabel","Country*","Country*","",""
"createdAtLabel","Created At","Created at","",""
"currentAuditMixLabel","Current audit mix","Current audit mix","",""
"currentSavedProfilePictureLabel","Current saved profile picture for this user account.","Current saved profile picture for this user account.","",""
"dateTimeBasedEventFlowLabel","Date/time based event flow","Date/time based event flow","",""
"deleteLabel","Delete","Delete","",""
"emailAddressLabel","Email address","Email address","",""
"environmentLabel","Environment","Environment","",""
"environmentSourceProfileLabel","Environment source profile","Environment source profile","",""
"eventsLabel","events","events","",""
"exportToExcelLabel","Export to Excel","Export to Excel","",""
"exportToPdfLabel","Export to PDF","Export to PDF","",""
"lastLogoutLabel","Last Logout","Last Logout","",""
"lastPasswordChangeLabel","Last Password Change","Last Password Change","",""
"lastRecordedLabel","Last Recorded","Last Recorded","",""
"lastSeenLabel","Last Seen","Last Seen","",""
"lastSuccessfulLoginLabel","Last Successful Login","Last Successful Login","",""
"loginEventsLabel","Login Events","Login Events","",""
"loginEventsSummaryLabel","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","",""
"loginLabel","Login","Login","",""
"logoutEventsLabel","Logout Events","Logout Events","",""
"logoutEventsSummaryLabel","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","",""
"mostActiveUserLabel","Most Active User","Most Active User","",""
"mostActiveUserSummaryLabel","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","",""
"noUserActivityFoundLabel","No user activity found","No user activity found","",""
"overallUserActivityStatusLabel","Overall User Activity Status","Overall User Activity Status","",""
"phoneLabel","Phone","Phone","",""
"profileDetailsUnavailableLabel","Profile details are not available","Profile details are not available","",""
"profileDetailsUnavailableSummaryLabel","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","",""
"profileImageLabel","Profile Image","Profile Image","",""
"profileNoActivityEntriesLabel","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","",""
"refreshActivityLabel","Refresh Activity","Refresh Activity","",""
"searchActivityGridLabel","Search activity grid","Search activity grid","",""
"searchUserActivityLabel","Search User Activity","Search User Activity","",""
"securityEventsLabel","Security Events","Security Events","",""
"securityEventsSummaryLabel","Combined login and logout activity across the visible audit records.","Combined login and logout activity across the visible audit records.","",""
"sessionIdLabel","Session ID","Session ID","",""
"stateRequiredLabel","State*","State*","",""
"timeLabel","Time","Time","",""
"timelineLabel","Timeline","Timeline","",""
"topActivityTypeLabel","Top Activity Type","Top Activity Type","",""
"topActivityTypeSummaryLabel","Most frequent operation pattern across the current audit history.","Most frequent operation pattern across the current audit history.","",""
"totalRecordsLabel","Total Records","Total Records","",""
"uniqueIpsLabel","Unique IPs","Unique IPs","",""
"uniqueIpsSummaryLabel","Distinct network origins currently visible in the loaded activity history.","Distinct network origins currently visible in the loaded activity history.","",""
"updatedAtLabel","Updated At","Updated At","",""
"userActivityIntelligenceLabel","User Activity Intelligence","User Activity Intelligence","",""
"userActivityIntelligenceSummaryLabel","Review operational behavior, security movement, change events, and audit signals across the platform from one high-clarity activity command view.","Review operational behavior, security movement, change events, and audit signals across the platform from one high-clarity activity command view.","",""
"userActivityLabel","User Activity","User Activity","",""
"applicationNotificationDetailsLabel","Application Notification Details","Application Notification Details","",""
"applicationNotificationsFileLabel","application-notifications","application-notifications","",""
"applicationNotificationsLabel","Application Notifications","Application Notifications","",""
"bankAccountDetailsRequiredLabel","Bank Account Details*","Bank Account Details*","",""
"bankDetailsLabel","Bank Details"," Bank Details","",""
"createdByLabel","Created By","Created By","",""
"deleteBankDetailsLabel","Delete the selected bank details?","Delete the selected bank details?","",""
"deleteSelectedApplicationNotificationLabel","Delete the selected application notification?","Delete the selected application notification?","",""
"fetchNotificationsLabel","Fetch Notifications","Fetch Notifications","",""
"messageLabel","Message","Message","",""
"organizationLogoSizeLimitLabel","Organization logo must be 500 KB or smaller.","Organization logo must be 500 KB or smaller.","",""
"organizationNameLabel","Organization Name","Organization name","",""
"searchApplicationNotificationsLabel","Search Application Notifications","Search Application Notifications","",""
"systemManagementLabel","System Management","System","",""
"activeExpiredLicensesLabel","Active / expired licenses","Active / expired licenses","",""
"activeUserRateLabel","Active User Rate","Active User Rate","",""
"activitiesPerRoleLabel","Activities per role","Activities per role","",""
"activitiesPerUserLabel","activities per user","activities per user","",""
"activitiesPerUserStatLabel","Activities per user","Activities per user","",""
"addUpdateDeleteEventsLabel","Add / update / delete events","Add / update / delete events","",""
"adminControlDashboardLabel","Admin Control Dashboard","Admin Control Dashboard","",""
"autoRefreshLabel","Auto Refresh","Auto Refresh","",""
"authenticationShareLabel","Authentication Share","Authentication Share","",""
"authenticationShareSummaryLabel","Login and logout events out of tracked activity","Login and logout events out of tracked activity","",""
"branchesLabel","Branches","Branches","",""
"branchesPerOrganizationLabel","branches per organization","branches per organization","",""
"branchesPerOrganizationStatLabel","Branches per organization","Branches per organization","",""
"changeShareLabel","Change Share","Change Share","",""
"changeShareSummaryLabel","Add, update, and delete events combined","Add, update, and delete events combined","",""
"citiesPerStateLabel","cities per state","cities per state","",""
"citiesPerStateStatLabel","Cities per state","Cities per state","",""
"countriesStatesCitiesLabel","Countries / States / Cities","Countries / States / Cities","",""
"coverageSummaryLabel","Coverage Summary","Coverage Summary","",""
"coverageSummarySubtitleLabel","Raw counts that support the derived visuals","Raw counts that support the derived visuals","",""
"currenciesLabel","Currencies","Currencies","",""
"densityStatisticsLabel","Density Statistics","Density Statistics","",""
"densityStatisticsSummaryLabel","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","",""
"departmentsLabel","Departments","Departments","",""
"departmentsPerOrganizationLabel","departments per organization","departments per organization","",""
"departmentsPerOrganizationStatLabel","Departments per organization","Departments per organization","",""
"designationsLabel","Designations","Designations","",""
"designationsPerDepartmentLabel","Designations per department","Designations per department","",""
"efficiencyRadarLabel","Efficiency Radar","Efficiency Radar","",""
"efficiencyRadarSummaryLabel","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","",""
"expiringLicensesLabel","Expiring Licenses","Expiring Licenses","",""
"expiringWithin30DaysLabel","Expiring within 30 days","Expiring within 30 days","",""
"expiredAndLabel","expired and","expired and","",""
"geographyFootprintLabel","Geography Footprint","Geography Footprint","",""
"inActiveUseLabel","in active use","in active use","",""
"licenseCoverageLabel","License Coverage","License Coverage","",""
"licenseCoverageSummaryLabel","Share of licensed organizations that are still active","Share of licensed organizations that are still active","",""
"licensePulseLabel","License Pulse","License Pulse","",""
"licensePulseSummaryLabel","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","",""
"licensedOrgsLabel","Licensed Orgs","Licensed Orgs","",""
"licensedOrganizationsStatLabel","Licensed organizations","Licensed organizations","",""
"licensedUserAccountsLabel","Licensed user accounts","Licensed user accounts","",""
"licensedUsersSummaryLabel","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","",""
"loginLogoutEventsLabel","Login / logout events","Login / logout events","",""
"nearingRenewalLabel","nearing renewal","nearing renewal","",""
"operationalRatiosSummaryLabel","Percent-based dashboard health indicators","Percent-based dashboard health indicators","",""
"organizationsLabel","Organizations","Organizations","",""
"portfolioMixLabel","Portfolio Mix","Portfolio Mix","",""
"portfolioMixSummaryLabel","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","",""
"roleUtilizationSummaryLabel","Used versus dormant roles in the system","Used versus dormant roles in the system","",""
"rolesLabel","Roles","Roles","",""
"rolesUsedUnusedLabel","Roles used / unused","Roles used / unused","",""
"statesPerCountryLabel","States per country","States per country","",""
"structureInventoryLabel","Structure Inventory","Structure Inventory","",""
"systemEntityFootprintLabel","System Entity Footprint","System Entity Footprint","",""
"systemEntityFootprintSummaryLabel","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","",""
"totalUsersLabel","Total Users","Total Users","",""
"trackedActivitiesLabel","Tracked Activities","Tracked Activities","",""
"unlicensedOrgsLabel","Unlicensed Orgs","Unlicensed Orgs","",""
"unlicensedOrgsSummaryLabel","Organizations without any registered license entry","Organizations without any registered license entry","",""
"unlicensedOrganizationsStatLabel","Unlicensed organizations","Unlicensed organizations","",""
"userActivitiesLabel","User Activities","User Activities","",""
"userStateMixLabel","User State Mix","User State Mix","",""
"userStateMixSummaryLabel","Current user population by lifecycle status","Current user population by lifecycle status","",""
"usersLoggedInOutNeverLabel","Users logged in / logged out / never","Users logged in / logged out / never","",""
"usersPerOrganizationLabel","Users per organization","Users per organization","",""
"usersPerRoleLabel","users per role","users per role","",""
"usersPerRoleStatLabel","Users per role","Users per role","",""
"affectedLogFilesLabel","affected log files","affected log files","",""
"alertFocusLabel","Alert Focus","Alert Focus","",""
"alertFocusSummaryLabel","Immediate context from the newest monitored signal.","Immediate context from the newest monitored signal.","",""
"andLabel","and","and","",""
"availabilityLabel","Availability","Availability","",""
"availabilitySummaryLabel","Live datasource reachability as seen from the running application server.","Live datasource reachability as seen from the running application server.","",""
"connectionPulseLabel","Connection Pulse","Connection Pulse","",""
"connectionPulseSummaryLabel","Quick operational read of the active datasource and engine handshake.","Quick operational read of the active datasource and engine handshake.","",""
"connectionStateLabel","Connection State","Connection State","",""
"correlatedUsersLabel","correlated users","correlated users","",""
"criticalSignalsLabel","Critical Signals","Critical Signals","",""
"databaseLabel","Database","Database","",""
"databaseProductNameLabel","Database Product Name","Database Product Name","",""
"databaseProductVersionLabel","Database Product Version","Database Product Version","",""
"databaseRuntimeControlLabel","Database Runtime Control","Database Runtime Control","",""
"datasourceUserLabel","Datasource User","Datasource User","",""
"datasourceUserSummaryLabel","Authentication identity currently attached to the application datasource.","Authentication identity currently attached to the application datasource.","",""
"datasourceUsernameLabel","Datasource Username","Datasource Username","",""
"engineLabel","Engine","Engine","",""
"errorLogMonitoringDeckLabel","Error Log Monitoring Deck","Error Log Monitoring Deck","",""
"errorLogMonitoringDeckSummaryLabel","Watch warnings, errors, and exception signatures across server logs and application logs, correlate them to the nearest recorded user operation, and surface alert pressure to application admins before incidents spread.","Watch warnings, errors, and exception signatures across server logs and application logs, correlate them to the nearest recorded user operation, and surface alert pressure to application admins before incidents spread.","",""
"errorLogMonitoringLabel","Error Log Monitoring","Error Log Monitoring","",""
"errorLogMonitorInsightPrefixLabel","Current scan covers","Current scan covers","",""
"errorLogMonitorInsightSuffixLabel","Alerts are pushed into the standard topbar message stream for app admins.","Alerts are pushed into the standard topbar message stream for app admins.","",""
"errorsLabel","Errors","Errors","",""
"errorsSummaryLabel","Hard failures and severe runtime breakdowns found in the monitored log set.","Hard failures and severe runtime breakdowns found in the monitored log set.","",""
"exceptionsLabel","Exceptions","Exceptions","",""
"exceptionsSummaryLabel","Unhandled or framework-thrown exception traces caught by the monitor.","Unhandled or framework-thrown exception traces caught by the monitor.","",""
"incidentStreamLabel","Incident Stream","Incident Stream","",""
"incidentStreamSummaryLabel","Each row shows what happened, when it happened, and the closest tracked user action around that time.","Each row shows what happened, when it happened, and the closest tracked user action around that time.","",""
"jdbcUrlLabel","JDBC URL","JDBC URL","",""
"lastScanLabel","Last Scan","Last Scan","",""
"logMessageLabel","Log / Message","Log / Message","",""
"monitorControlsLabel","Monitor Controls","Monitor Controls","",""
"monitorControlsSummaryLabel","The monitor auto-refreshes every 30 seconds, scans all supported log files under the server log area, and pushes topbar alerts to application admins when new warning or error events are discovered.","The monitor auto-refreshes every 30 seconds, scans all supported log files under the server log area, and pushes topbar alerts to application admins when new warning or error events are discovered.","",""
"monitoredIncidentsLabel","Monitored Incidents","Monitored Incidents","",""
"noWarningErrorExceptionTrackedLabel","No warning, error, or exception lines are currently being tracked from the monitored server logs.","No warning, error, or exception lines are currently being tracked from the monitored server logs.","",""
"onlineLabel","Online","Online","",""
"openServerLogsLabel","Open Server Logs","Open Server Logs","",""
"productLabel","Product","Product","",""
"productSummaryLabel","Database product reported by JDBC metadata.","Database product reported by JDBC metadata.","",""
"refreshNowLabel","Refresh Now","Refresh Now","",""
"runtimeLabel","Runtime","Runtime","",""
"scannedFilesLabel","Scanned Files","Scanned Files","",""
"scannedFilesSummaryLabel","Latest server log files included in the current monitoring sweep.","Latest server log files included in the current monitoring sweep.","",""
"sessionLabel","Session","Session","",""
"technicalDetailsLabel","Technical Details","Technical Details","",""
"technicalDetailsSummaryLabel","Datasource metadata captured directly from JDBC and formatted for fast inspection.","Datasource metadata captured directly from JDBC and formatted for fast inspection.","",""
"typeLabel","Type","Type","",""
"userOperationLabel","User Operation","User Operation","",""
"versionLabel","Version","Version","",""
"versionSummaryLabel","Server version currently exposed by the connected engine.","Server version currently exposed by the connected engine.","",""
"warningsLabel","Warnings","Warnings","",""
"warningsSummaryLabel","Signals that deserve review before they escalate into user-facing failures.","Signals that deserve review before they escalate into user-facing failures.","",""
"whenLabel","When","When","",""
"signInLabel","Sign In","","",""
"usernameLabel","Username","","",""
"passwordLabel","Password","","",""
"forgotPasswordText","Forgot Password? ","","",""
"refreshInText","Refresh In","","",""
"secondsLabel","Seconds","","",""
"licenseLabel","License","","",""
"clinicManagementLabel","Clinic Management","","",""
"userProfileLabel","User Profile","","",""
"modulesRoleDefinitionLabel","Modules Role Definition","","",""
"roleAdministrationLabel","Role Administration","","",""
"manageRoleLabel","Manage Role","","",""
"changePasswordLabel","Change Password","","",""
"branchLabel","Branch","","",""
"departmentLabel","Department","","",""
"designationLabel","Designation","","",""
"countryLabel","Country","","",""
"stateLabel","State","","",""
"cityLabel","City","","",""
"regionLabel","Region","","",""
"subregionLabel","Subregion","","",""
"currencyLabel","Currency","","",""
"notificationSettingsLabel","Notification Settings","","",""
"roleLabel","Role","","",""
"roleIdLabel","Role Id","","",""
"roleNameLabel","Role Name","","",""
"roleDetailsLabel","Role Details","","",""
"searchRoleLabel","Search Role","","",""
"deleteTheRoleLabel","Delete the Role","","",""
"accessRightLabel","Access Right","","",""
"emailIDLabel","Email ID","","",""
"contactLabel","Contact","","",""
"fetchUserActivitiesLabel","Fetch User Activities","","",""
"noOfRecordsLabel","Number of Records","","",""
"activityTypeLabel","Activity Type","","",""
"activityDescriptionLabel","Activity Description","","",""
"ipAddressLabel","IP Address","","",""
"deviceInfoLabel","Device Info","","",""
"browserInfoLabel","Browser Info","","",""
"createLabel","Create","","",""
"editLabel","Edit","","",""
"moduleLabel","Module","","",""
"modulesLabel","Modules","","",""
"submoduleLabel","Sub Module","","",""
"submodulesLabel","Sub Modules","","",""
"privilegesLabel","Privileges","","",""
"viewLabel","View","","",""
"exportLabel","Export","","",""
"printLabel","Print","","",""
"emailLabel","Email","","",""
"prepareLabel","Prepare","","",""
"approveLabel","Approve","","",""
"rejectLabel","Reject","","",""
"saveLabel","Save","","",""
"updateLabel","Update","","",""
"newLabel","New","","",""
"fetchRolesLabel","Fetch Roles","","",""
"fetchOrganizationsLabel","Fetch Organizations","","",""
"fetchBranchesLabel","Fetch Branches","","",""
"fetchDepartmentsLabel","Fetch Departments","","",""
"fetchDesignationsLabel","Fetch Designations","","",""
"fetchCountriesLabel","Fetch Countries","","",""
"fetchStatesLabel","Fetch States/Districts","","",""
"fetchCitiesLabel","Fetch Cities","","",""
"fetchRegionsLabel","Fetch Regions","","",""
"fetchSubregionsLabel","Fetch Subregions","","",""
"fetchCurrenciesLabel","Fetch Currencies","","",""
"fetchNotificationSettingLabel","Fetch Notification Setting","","",""
"organizationIdLabel","Organization Id","","",""
"searchOrganizationLabel","Search Organization","","",""
"flagLabel","Flag","","",""
"phoneNumberLabel","Phone Number","","",""
"websiteLabel","Website","","",""
"organizationDetailsLabel","Organization Details","","",""
"deleteTheOrganizationLabel","Delete the Organization","","",""
"branchIdLabel","Branch Id","","",""
"branchNameLabel","Branch Name","","",""
"branchDetailsLabel","Branch Details","","",""
"deleteTheBranchLabel","Delete the Branch","","",""
"searchBranchLabel","Search Branch","","",""
"confirmLabel","Confirm","","",""
"organizationAddedSuccessfullyLabel","Organization Added Successfully","","",""
"organizationAlreadyExistsLabel","Organization already exists","","",""
"addingOrganizationFailedLabel","Adding Organization Failed","","",""
"unexpectedErrorLabel","Unexpected Error","","",""
"organizationDoestNotExistLabel","Organization does not exist","","",""
"organizationUpdateFailedLabel","Organization Update Failed","","",""
"organizationRemovalFailedLabel","Organization Removal Failed","","",""
"organizationUpdatedSuccessfullyLabel","Organization Updated Successfully","","",""
"organizationDeletedSuccessfullyLabel"," Organization Deleted Successfully","","",""
"errorLabel","Error","","",""
"warningLabel","Warning","","",""
"branchAddedSuccessfullyLabel","Branch Added Successfully","","",""
"branchAlreadyExistsLabel","Branch already exists","","",""
"branchAddFailedLabel","Branch Add Failed","","",""
"branchUpdatedSuccessfullyLabel","Branch Updated Successfully","","",""
"branchDoesNotExistsLabel","Branch does not exists","","",""
"branchUpdateFailedLabel","Branch Update Failed","","",""
"branchRemovalFailedLabel","Branch Removal Failed","","",""
"branchRemovedSuccessfullyLabel"," Branch Removed Successfully","","",""
"searchDepartmentLabel","Search Department","","",""
"departmentIdLabel","Department Id","","",""
"departmentNameLabel","Department Name","","",""
"departmentDetailsLabel","Department Details","","",""
"deleteTheDepartmentLabel","Delete the Department","","",""
"searchDesignationLabel","Search Designation","","",""
"designationIdLabel","Designation Id","","",""
"designationNameLabel","Designation Name","","",""
"designationDetailsLabel","Designation Details","","",""
"deleteTheDesignationLabel","Delete the Designation","","",""
"searchCountryLabel","Search Country","","",""
"countryIdLabel","Country Id","","",""
"countryNameLabel","Country Name","","",""
"isoCode2Label","ISO Code 2","","",""
"isoCode3Label","ISO Code 3","","",""
"capitalLabel","Capital","","",""
"numericCodeLabel","Numeric Code","","",""
"phoneCodeLabel","PhoneCode","","",""
"currencyNameLabel","Currency Name","","",""
"tldLabel","tld","","",""
"nativeNameLabel","Native Name","","",""
"nationalityLabel","Nationality","","",""
"timezonesLabel","Timezone","","",""
"translationsLabel","Translations","","",""
"deleteTheCountryLabel","Delete the Country","","",""
"countryDetailsLabel","Country Details","","",""
"deleteTheStateLabel","Delete the State","","",""
"latitudeLabel","Latitude","","",""
"longitudeLabel","Longitude","","",""
"stateNameLabel","State Name","","",""
"stateDetailsLabel","State Details","","",""
"departmentAddedSuccessfullyLabel","Department Added Successfully","","",""
"departmentAlreadyExistsLabel","Department already exists","","",""
"departmentAddFailedLabel","Department Add Failed","","",""
"departmentUpdatedSuccessfullyLabel","Department Updated Successfully","","",""
"departmentDoesNotExistLabel","Department does not exist","","",""
"departmentUpdateFailedLabel","Department Update Failed","","",""
"departmentRemovedSuccessfullyLabel","Department Removed Successfully","","",""
"departmentRemovalFailedLabel","Department Removal Failed","","",""
"designationAddedSuccessfullyLabel","Designation Added Successfully","","",""
"designationAlreadyExistLabel","Designation already exists","","",""
"designationAddFailedLabel","Designation Add Failed","","",""
"designationUpdatedSuccessfullyLabel","Designation Updated Successfully","","",""
