"key","base","target","review_status","reviewer_notes"
"logoutEventsSummaryLabel","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","",""
"mostActiveUserLabel","Most Active User","Most Active User","",""
"mostActiveUserSummaryLabel","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","",""
"noUserActivityFoundLabel","No user activity found","No user activity found","",""
"overallUserActivityStatusLabel","Overall User Activity Status","Overall User Activity Status","",""
"phoneLabel","Phone","Phone","",""
"profileDetailsUnavailableLabel","Profile details are not available","Profile details are not available","",""
"profileDetailsUnavailableSummaryLabel","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","",""
"profileImageLabel","Profile Image","Profile Image","",""
"profileNoActivityEntriesLabel","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","",""
"refreshActivityLabel","Refresh Activity","Refresh Activity","",""
"searchActivityGridLabel","Search activity grid","Search activity grid","",""
"searchUserActivityLabel","Search User Activity","Search User Activity","",""
"securityEventsLabel","Security Events","Security Events","",""
"securityEventsSummaryLabel","Combined login and logout activity across the visible audit records.","Combined login and logout activity across the visible audit records.","",""
"sessionIdLabel","Session ID","Session ID","",""
"stateRequiredLabel","State*","State*","",""
"timeLabel","Time","Time","",""
"timelineLabel","Timeline","Timeline","",""
"topActivityTypeLabel","Top Activity Type","Top Activity Type","",""
"topActivityTypeSummaryLabel","Most frequent operation pattern across the current audit history.","Most frequent operation pattern across the current audit history.","",""
"totalRecordsLabel","Total Records","Total Records","",""
"uniqueIpsLabel","Unique IPs","Unique IPs","",""
"uniqueIpsSummaryLabel","Distinct network origins currently visible in the loaded activity history.","Distinct network origins currently visible in the loaded activity history.","",""
"updatedAtLabel","Updated At","Updated At","",""
"userActivityIntelligenceLabel","User Activity Intelligence","User Activity Intelligence","",""
"userActivityIntelligenceSummaryLabel","Review operational behavior, security movement, change events, and audit signals across the platform from one high-clarity activity command view.","Review operational behavior, security movement, change events, and audit signals across the platform from one high-clarity activity command view.","",""
"userActivityLabel","User Activity","Aktiviti Pengguna","",""
"applicationNotificationDetailsLabel","Application Notification Details","Application Notification Details","",""
"applicationNotificationsFileLabel","application-notifications","application-notifications","",""
"applicationNotificationsLabel","Application Notifications","Application Notifications","",""
"bankAccountDetailsRequiredLabel","Bank Account Details*","Bank Account Details*","",""
"bankDetailsLabel","Bank Details"," Bank Details","",""
"createdByLabel","Created By","Created By","",""
"deleteBankDetailsLabel","Delete the selected bank details?","Delete the selected bank details?","",""
"deleteSelectedApplicationNotificationLabel","Delete the selected application notification?","Delete the selected application notification?","",""
"fetchNotificationsLabel","Fetch Notifications","Fetch Notifications","",""
"messageLabel","Message","Message","",""
"organizationLogoSizeLimitLabel","Organization logo must be 500 KB or smaller.","Organization logo must be 500 KB or smaller.","",""
"organizationNameLabel","Organization Name","Nama Organisasi","",""
"searchApplicationNotificationsLabel","Search Application Notifications","Search Application Notifications","",""
"systemManagementLabel","System Management","Pengurusan Sistem","",""
"activeExpiredLicensesLabel","Active / expired licenses","Active / expired licenses","",""
"activeUserRateLabel","Active User Rate","Active User Rate","",""
"activitiesPerRoleLabel","Activities per role","Activities per role","",""
"activitiesPerUserLabel","activities per user","activities per user","",""
"activitiesPerUserStatLabel","Activities per user","Activities per user","",""
"addUpdateDeleteEventsLabel","Add / update / delete events","Add / update / delete events","",""
"adminControlDashboardLabel","Admin Control Dashboard","Admin Control Dashboard","",""
"autoRefreshLabel","Auto Refresh","Auto Refresh","",""
"authenticationShareLabel","Authentication Share","Authentication Share","",""
"authenticationShareSummaryLabel","Login and logout events out of tracked activity","Login and logout events out of tracked activity","",""
"branchesLabel","Branches","Cawangan-Cawangan","",""
"branchesPerOrganizationLabel","branches per organization","branches per organization","",""
"branchesPerOrganizationStatLabel","Branches per organization","Branches per organization","",""
"changeShareLabel","Change Share","Change Share","",""
"changeShareSummaryLabel","Add, update, and delete events combined","Add, update, and delete events combined","",""
"citiesPerStateLabel","cities per state","cities per state","",""
"citiesPerStateStatLabel","Cities per state","Cities per state","",""
"countriesStatesCitiesLabel","Countries / States / Cities","Countries / States / Cities","",""
"coverageSummaryLabel","Coverage Summary","Coverage Summary","",""
"coverageSummarySubtitleLabel","Raw counts that support the derived visuals","Raw counts that support the derived visuals","",""
"currenciesLabel","Currencies","Mata Wang","",""
"densityStatisticsLabel","Density Statistics","Density Statistics","",""
"densityStatisticsSummaryLabel","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","",""
"departmentsLabel","Departments","Departments","",""
"departmentsPerOrganizationLabel","departments per organization","departments per organization","",""
"departmentsPerOrganizationStatLabel","Departments per organization","Departments per organization","",""
"designationsLabel","Designations","Designations","",""
"designationsPerDepartmentLabel","Designations per department","Designations per department","",""
"efficiencyRadarLabel","Efficiency Radar","Efficiency Radar","",""
"efficiencyRadarSummaryLabel","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","",""
"expiringLicensesLabel","Expiring Licenses","Expiring Licenses","",""
"expiringWithin30DaysLabel","Expiring within 30 days","Expiring within 30 days","",""
"expiredAndLabel","expired and","expired and","",""
"geographyFootprintLabel","Geography Footprint","Geography Footprint","",""
"inActiveUseLabel","in active use","in active use","",""
"licenseCoverageLabel","License Coverage","License Coverage","",""
"licenseCoverageSummaryLabel","Share of licensed organizations that are still active","Share of licensed organizations that are still active","",""
"licensePulseLabel","License Pulse","License Pulse","",""
"licensePulseSummaryLabel","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","",""
"licensedOrgsLabel","Licensed Orgs","Licensed Orgs","",""
"licensedOrganizationsStatLabel","Licensed organizations","Licensed organizations","",""
"licensedUserAccountsLabel","Licensed user accounts","Licensed user accounts","",""
"licensedUsersSummaryLabel","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","",""
"loginLogoutEventsLabel","Login / logout events","Login / logout events","",""
"nearingRenewalLabel","nearing renewal","nearing renewal","",""
"operationalRatiosSummaryLabel","Percent-based dashboard health indicators","Percent-based dashboard health indicators","",""
"organizationsLabel","Organizations","Organizations","",""
"portfolioMixLabel","Portfolio Mix","Portfolio Mix","",""
"portfolioMixSummaryLabel","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","",""
"roleUtilizationSummaryLabel","Used versus dormant roles in the system","Used versus dormant roles in the system","",""
"rolesLabel","Roles","Roles","",""
"rolesUsedUnusedLabel","Roles used / unused","Roles used / unused","",""
"statesPerCountryLabel","States per country","States per country","",""
"structureInventoryLabel","Structure Inventory","Structure Inventory","",""
"systemEntityFootprintLabel","System Entity Footprint","System Entity Footprint","",""
"systemEntityFootprintSummaryLabel","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","",""
"totalUsersLabel","Total Users","Total Users","",""
"trackedActivitiesLabel","Tracked Activities","Tracked Activities","",""
"unlicensedOrgsLabel","Unlicensed Orgs","Unlicensed Orgs","",""
"unlicensedOrgsSummaryLabel","Organizations without any registered license entry","Organizations without any registered license entry","",""
"unlicensedOrganizationsStatLabel","Unlicensed organizations","Unlicensed organizations","",""
"userActivitiesLabel","User Activities","User Activities","",""
"userStateMixLabel","User State Mix","User State Mix","",""
"userStateMixSummaryLabel","Current user population by lifecycle status","Current user population by lifecycle status","",""
"usersLoggedInOutNeverLabel","Users logged in / logged out / never","Users logged in / logged out / never","",""
"usersPerOrganizationLabel","Users per organization","Users per organization","",""
"usersPerRoleLabel","users per role","users per role","",""
"usersPerRoleStatLabel","Users per role","Users per role","",""
"affectedLogFilesLabel","affected log files","affected log files","",""
"alertFocusLabel","Alert Focus","Alert Focus","",""
"alertFocusSummaryLabel","Immediate context from the newest monitored signal.","Immediate context from the newest monitored signal.","",""
"andLabel","and","and","",""
"availabilityLabel","Availability","Availability","",""
"availabilitySummaryLabel","Live datasource reachability as seen from the running application server.","Live datasource reachability as seen from the running application server.","",""
"connectionPulseLabel","Connection Pulse","Connection Pulse","",""
"connectionPulseSummaryLabel","Quick operational read of the active datasource and engine handshake.","Quick operational read of the active datasource and engine handshake.","",""
"connectionStateLabel","Connection State","Connection State","",""
"correlatedUsersLabel","correlated users","correlated users","",""
"criticalSignalsLabel","Critical Signals","Critical Signals","",""
"databaseLabel","Database","Pangkalan Data","",""
"databaseProductNameLabel","Database Product Name","Database Product Name","",""
"databaseProductVersionLabel","Database Product Version","Database Product Version","",""
"databaseRuntimeControlLabel","Database Runtime Control","Database Runtime Control","",""
"datasourceUserLabel","Datasource User","Datasource User","",""
"datasourceUserSummaryLabel","Authentication identity currently attached to the application datasource.","Authentication identity currently attached to the application datasource.","",""
"datasourceUsernameLabel","Datasource Username","Datasource Username","",""
"engineLabel","Engine","Engine","",""
"errorLogMonitoringDeckLabel","Error Log Monitoring Deck","Error Log Monitoring Deck","",""
"errorLogMonitoringDeckSummaryLabel","Watch warnings, errors, and exception signatures across server logs and application logs, correlate them to the nearest recorded user operation, and surface alert pressure to application admins before incidents spread.","Watch warnings, errors, and exception signatures across server logs and application logs, correlate them to the nearest recorded user operation, and surface alert pressure to application admins before incidents spread.","",""
"errorLogMonitoringLabel","Error Log Monitoring","Error Log Monitoring","",""
"errorLogMonitorInsightPrefixLabel","Current scan covers","Current scan covers","",""
"errorLogMonitorInsightSuffixLabel","Alerts are pushed into the standard topbar message stream for app admins.","Alerts are pushed into the standard topbar message stream for app admins.","",""
"errorsLabel","Errors","Errors","",""
"errorsSummaryLabel","Hard failures and severe runtime breakdowns found in the monitored log set.","Hard failures and severe runtime breakdowns found in the monitored log set.","",""
"exceptionsLabel","Exceptions","Exceptions","",""
"exceptionsSummaryLabel","Unhandled or framework-thrown exception traces caught by the monitor.","Unhandled or framework-thrown exception traces caught by the monitor.","",""
"incidentStreamLabel","Incident Stream","Incident Stream","",""
"incidentStreamSummaryLabel","Each row shows what happened, when it happened, and the closest tracked user action around that time.","Each row shows what happened, when it happened, and the closest tracked user action around that time.","",""
"jdbcUrlLabel","JDBC URL","JDBC URL","",""
"lastScanLabel","Last Scan","Last Scan","",""
"logMessageLabel","Log / Message","Log / Message","",""
"monitorControlsLabel","Monitor Controls","Monitor Controls","",""
"monitorControlsSummaryLabel","The monitor auto-refreshes every 30 seconds, scans all supported log files under the server log area, and pushes topbar alerts to application admins when new warning or error events are discovered.","The monitor auto-refreshes every 30 seconds, scans all supported log files under the server log area, and pushes topbar alerts to application admins when new warning or error events are discovered.","",""
"monitoredIncidentsLabel","Monitored Incidents","Monitored Incidents","",""
"noWarningErrorExceptionTrackedLabel","No warning, error, or exception lines are currently being tracked from the monitored server logs.","No warning, error, or exception lines are currently being tracked from the monitored server logs.","",""
"onlineLabel","Online","Online","",""
"openServerLogsLabel","Open Server Logs","Open Server Logs","",""
"productLabel","Product","Product","",""
"productSummaryLabel","Database product reported by JDBC metadata.","Database product reported by JDBC metadata.","",""
"refreshNowLabel","Refresh Now","Refresh Now","",""
"runtimeLabel","Runtime","Runtime","",""
"scannedFilesLabel","Scanned Files","Scanned Files","",""
"scannedFilesSummaryLabel","Latest server log files included in the current monitoring sweep.","Latest server log files included in the current monitoring sweep.","",""
"sessionLabel","Session","Session","",""
"technicalDetailsLabel","Technical Details","Technical Details","",""
"technicalDetailsSummaryLabel","Datasource metadata captured directly from JDBC and formatted for fast inspection.","Datasource metadata captured directly from JDBC and formatted for fast inspection.","",""
"typeLabel","Type","Jenis","",""
"userOperationLabel","User Operation","User Operation","",""
"versionLabel","Version","Version","",""
"versionSummaryLabel","Server version currently exposed by the connected engine.","Server version currently exposed by the connected engine.","",""
"warningsLabel","Warnings","Warnings","",""
"warningsSummaryLabel","Signals that deserve review before they escalate into user-facing failures.","Signals that deserve review before they escalate into user-facing failures.","",""
"whenLabel","When","When","",""
"signInLabel","Sign In","Log Masuk","",""
"usernameLabel","Username","Nama Pengguna","",""
"passwordLabel","Password","Kata Laluan","",""
"forgotPasswordText","Forgot Password? ","Lupa Kata Laluan?","",""
"refreshInText","Refresh In","Muat Semula Dalam","",""
"secondsLabel","Seconds","Saat","",""
"licenseLabel","License","Lesen","",""
"clinicManagementLabel","Clinic Management","","",""
"userProfileLabel","User Profile","Profil Pengguna","",""
"modulesRoleDefinitionLabel","Modules Role Definition","Definisi Peranan Modul","",""
"roleAdministrationLabel","Role Administration","Pentadbiran Peranan","",""
"manageRoleLabel","Manage Role","Manage Role","",""
"changePasswordLabel","Change Password","Tukar Kata Laluan","",""
"branchLabel","Branch","Cawangan","",""
"departmentLabel","Department","Jabatan","",""
"designationLabel","Designation","Jawatan","",""
"countryLabel","Country","Negara","",""
"stateLabel","State","Negeri","",""
"cityLabel","City","Bandar","",""
"regionLabel","Region","Wilayah","",""
"subregionLabel","Subregion","Sub Wilayah","",""
"currencyLabel","Currency","Mata Wang","",""
"notificationSettingsLabel","Notification Settings","Tetapan Pemberitahuan","",""
"roleLabel","Role","Peranan","",""
"roleIdLabel","Role Id","Role Id","",""
"roleNameLabel","Role Name","Role Name","",""
"roleDetailsLabel","Role Details","Role Details","",""
"searchRoleLabel","Search Role","Search Role","",""
"deleteTheRoleLabel","Delete the Role","Delete the Role","",""
"accessRightLabel","Access Right","Hak Akses","",""
"emailIDLabel","Email ID","ID E-mel","",""
"contactLabel","Contact","Hubungi","",""
"fetchUserActivitiesLabel","Fetch User Activities","Ambil Aktiviti Pengguna","",""
"noOfRecordsLabel","Number of Records","Bilangan Rekod","",""
"activityTypeLabel","Activity Type","Jenis Aktiviti","",""
"activityDescriptionLabel","Activity Description","Keterangan Aktiviti","",""
"ipAddressLabel","IP Address","Alamat IP","",""
"deviceInfoLabel","Device Info","Maklumat Peranti","",""
"browserInfoLabel","Browser Info","Maklumat Pelayar","",""
"createLabel","Create","Cipta","",""
"editLabel","Edit","Sunting","",""
"moduleLabel","Module","Modul","",""
"modulesLabel","Modules","Modul-Modul","",""
"submoduleLabel","Sub Module","Sub Modul","",""
"submodulesLabel","Sub Modules","Sub Modul-Modul","",""
"privilegesLabel","Privileges","Keistimewaan","",""
"viewLabel","View","Lihat","",""
"exportLabel","Export","Eksport","",""
"printLabel","Print","Cetak","",""
"emailLabel","Email","E-mel","",""
"prepareLabel","Prepare","Sediakan","",""
"approveLabel","Approve","Luluskan","",""
"rejectLabel","Reject","Tolak","",""
"saveLabel","Save","Simpan","",""
"updateLabel","Update","Kemas Kini","",""
"newLabel","New","Baru","",""
"fetchRolesLabel","Fetch Roles","Ambil Peranan","",""
"fetchOrganizationsLabel","Fetch Organizations","Ambil Organisasi","",""
"fetchBranchesLabel","Fetch Branches","Ambil Cawangan","",""
"fetchDepartmentsLabel","Fetch Departments","Ambil Jabatan","",""
"fetchDesignationsLabel","Fetch Designations","Ambil Jawatan","",""
"fetchCountriesLabel","Fetch Countries","Ambil Negara","",""
"fetchStatesLabel","Fetch States/Districts","Ambil Negeri/Daerah","",""
"fetchCitiesLabel","Fetch Cities","Ambil Bandar","",""
"fetchRegionsLabel","Fetch Regions","Ambil Wilayah","",""
"fetchSubregionsLabel","Fetch Subregions","Ambil Sub Wilayah","",""
"fetchCurrenciesLabel","Fetch Currencies","Ambil Mata Wang","",""
"fetchNotificationSettingLabel","Fetch Notification Setting","Ambil Tetapan Pemberitahuan","",""
"organizationIdLabel","Organization Id","ID Organisasi","",""
"searchOrganizationLabel","Search Organization","Cari Organisasi","",""
"flagLabel","Flag","Bendera","",""
"phoneNumberLabel","Phone Number","Nombor Telefon","",""
"websiteLabel","Website","Laman Web","",""
"organizationDetailsLabel","Organization Details","Butiran Organisasi","",""
"deleteTheOrganizationLabel","Delete the Organization","Padam Organisasi","",""
"branchIdLabel","Branch Id","ID Cawangan","",""
"branchNameLabel","Branch Name","Nama Cawangan","",""
"branchDetailsLabel","Branch Details","Butiran Cawangan","",""
"deleteTheBranchLabel","Delete the Branch","Padam Cawangan","",""
"searchBranchLabel","Search Branch","Cari Cawangan","",""
"confirmLabel","Confirm","Sahkan","",""
"organizationAddedSuccessfullyLabel","Organization Added Successfully","Organisasi Berjaya Ditambah","",""
"organizationAlreadyExistsLabel","Organization already exists","Organisasi Sudah Wujud","",""
"addingOrganizationFailedLabel","Adding Organization Failed","Tambah Organisasi Gagal","",""
"unexpectedErrorLabel","Unexpected Error","Ralat Tidak Dijangka","",""
"organizationDoestNotExistLabel","Organization does not exist","Organisasi Tidak Wujud","",""
"organizationUpdateFailedLabel","Organization Update Failed","Kemas Kini Organisasi Gagal","",""
"organizationRemovalFailedLabel","Organization Removal Failed","Penghapusan Organisasi Gagal","",""
"organizationUpdatedSuccessfullyLabel","Organization Updated Successfully","Organisasi Berjaya Dikemas Kini","",""
"organizationDeletedSuccessfullyLabel"," Organization Deleted Successfully","Organisasi Berjaya Dihapuskan","",""
"errorLabel","Error","Ralat","",""
"warningLabel","Warning","Amaran","",""
"branchAddedSuccessfullyLabel","Branch Added Successfully","Cawangan Berjaya Ditambah","",""
"branchAlreadyExistsLabel","Branch already exists","Cawangan Sudah Wujud","",""
"branchAddFailedLabel","Branch Add Failed","Tambah Cawangan Gagal","",""
"branchUpdatedSuccessfullyLabel","Branch Updated Successfully","Cawangan Berjaya Dikemas Kini","",""
"branchDoesNotExistsLabel","Branch does not exists","Cawangan Tidak Wujud","",""
"branchUpdateFailedLabel","Branch Update Failed","Kemas Kini Cawangan Gagal","",""
"branchRemovalFailedLabel","Branch Removal Failed","Penghapusan Cawangan Gagal","",""
"branchRemovedSuccessfullyLabel"," Branch Removed Successfully","Cawangan Berjaya Dihapuskan","",""
"searchDepartmentLabel","Search Department","Cari Jabatan","",""
"departmentIdLabel","Department Id","ID Jabatan","",""
"departmentNameLabel","Department Name","Nama Jabatan","",""
